time;Flex6;GyroY
35640;53;1.06
35742;55;4.21
35845;55;4.18
35948;55;3.78
36050;55;2.82
36153;55;4.74
36256;55;5.49
36359;55;4.83
36461;55;3.54
36564;55;4.08
36667;55;2.66
36769;55;3.22
36872;55;4.04
36975;55;2.52
37078;55;2.95
37180;55;2.78
37283;55;6.03
37386;47;4.70
37488;55;3.69
37592;55;4.28
37694;55;5.42
37796;55;0.03
37899;55;4.60
38002;55;4.12
38105;55;3.45
38207;55;3.12
38310;54;-1.56
38413;44;-113.71
38515;-2;-121.79
38619;-12;-40.72
38721;-8;-61.53
38823;-13;-43.82
38927;-17;7.54
39029;-17;-5.63
39132;-17;-10.70
39235;-17;-13.63
39337;-17;-11.78
39440;-17;-2.66
39543;-17;-4.38
39646;-17;1.64
39748;-17;2.88
39852;-17;1.32
39954;-16;0.66
40056;-16;-0.46
40160;-16;0.52
40262;-16;3.60
40365;-18;4.37
40467;-24;-3.27
40570;-17;-7.59
40673;-16;6.69
40775;-17;4.72
40879;-16;8.47
40981;-16;2.80
41083;-16;3.91
41187;-18;2.60
41289;-16;1.18
41392;-18;3.60
41495;-16;1.62
41597;-15;-0.07
41700;-20;0.06
41802;-15;3.62
41906;-16;3.08
42008;-15;2.47
42110;-15;3.80
42214;-14;3.92
42316;-17;4.20
42419;-18;5.92
42522;-14;4.56
42625;-15;1.93
42727;-14;2.56
42829;-14;4.30
42933;-14;3.31
43035;-14;2.85
43138;-14;0.90
43241;-13;-0.37
43343;-14;1.17
43446;-14;2.62
43549;-13;0.91
43652;-18;2.92
43754;-16;3.53
43856;-13;2.81
43960;-13;0.91
44062;-18;3.56
44165;-12;4.02
44268;-15;4.35
44370;-13;-0.56
44473;-14;4.43
44576;-16;4.60
44679;-12;2.57
44781;-12;2.53
44883;-12;4.08
44987;-12;2.53
45089;-12;2.67
45192;-12;3.80
45295;-13;1.90
45398;-14;4.27
45500;-15;3.13
45603;-11;3.31
45706;-12;4.50
45808;-11;4.44
45912;-12;4.58
46014;-11;1.50
46116;-11;0.53
46219;-11;2.95
46322;-11;2.60
46425;-11;2.50
46527;-11;2.35
46630;-11;3.11
46733;-11;1.92
46835;-11;1.81
46939;-11;2.82
47041;-11;2.77
47143;-11;0.64
47246;-11;6.93
47349;-11;2.60
47452;-11;4.59
47554;-11;4.15
47657;-11;3.31
47760;-11;4.40
47862;-11;4.64
47966;-11;3.79
48068;-11;3.70
48171;-10;3.15
48273;-10;3.04
48376;-11;5.01
48479;-11;2.26
48581;-12;3.69
48685;-10;2.59
48787;-12;4.47
48889;-14;3.52
48993;-10;2.77
49095;-17;2.96
49198;-10;3.34
49300;-10;3.39
49403;-10;3.80
49506;-10;5.45
49608;-10;4.85
49712;-10;5.31
49814;-14;13.02
49916;-10;0.73
50020;-9;-1.00
50122;-9;-4.40
50225;-9;-3.87
50328;-9;8.06
50430;-8;14.82
