time;Flex6;GyroY;angle;filteredAngle;Offset;P
0.033;694.046862628101;2.702261069584079;39.64;36.79;-12.63;11.16
0.066;701.1195412970462;3.7775491744359724;46.01;46.55;-10.13;9.91
0.099;683.5136926378618;3.3505161393756673;30.16;36.76;0.42;9.05
0.132;692.0927765906628;3.6068594938562653;37.88;37.38;0.05;7.91
0.165;708.2508451468638;2.6639710337622864;52.43;46.07;-2.62;6.91
0.198;688.9960529015012;3.5114563070315796;35.10;41.88;-0.83;6.10
0.231;695.9459022132056;3.3940600791845323;41.35;42.16;-0.68;5.44
0.264;706.0717853737384;1.8769670094319517;50.46;46.03;-1.27;4.90
0.29700000000000004;707.3235987931469;3.1196626095680067;51.59;48.98;-1.53;4.46
0.33000000000000007;697.379491682447;2.736351536104239;42.64;47.92;-1.11;4.09
0.3630000000000001;696.046959991081;3.1748074835718505;41.44;46.74;-0.78;3.78
0.39600000000000013;697.2045328132115;2.464502061120439;42.48;46.13;-0.59;3.51
0.42900000000000016;707.9914957305318;3.6532169961199;52.19;48.30;-0.76;3.28
0.4620000000000002;693.7209440621821;3.3321528717296314;39.35;46.67;-0.49;3.08
0.4950000000000002;699.5807719637987;2.0998567642197905;44.62;46.62;-0.43;2.90
0.5280000000000002;703.911873779292;3.135968948432406;48.52;47.47;-0.46;2.74
0.5610000000000003;699.4521805110782;3.5035510470167486;44.51;47.28;-0.39;2.60
0.5940000000000003;717.3037758068651;3.44582051511193;60.57;50.42;-0.61;2.48
0.6270000000000003;686.1602513566496;2.663173811596721;32.54;47.48;-0.32;2.37
0.6600000000000004;697.7534025152047;3.7524496555736517;42.98;46.98;-0.25;2.27
0.6930000000000004;704.5356695572187;2.093095220117906;49.08;47.64;-0.27;2.17
0.7260000000000004;707.3950793361245;3.2830870346694945;51.66;48.65;-0.32;2.09
0.7590000000000005;694.3686868956169;3.031318102380765;39.93;47.54;-0.21;2.02
0.7920000000000005;698.7156690811861;3.0531459081756602;43.84;47.20;-0.17;1.95
0.8250000000000005;706.7070915170875;2.850642865710916;51.04;48.03;-0.21;1.89
0.8580000000000005;702.3667709768241;3.3429347797632163;47.13;48.16;-0.20;1.83
0.8910000000000006;700.8522064938146;2.633622984850507;45.77;48.06;-0.17;1.78
0.9240000000000006;701.6929635218925;2.7353540430845786;46.52;48.07;-0.16;1.73
0.9570000000000006;701.885315783733;2.6405647345985024;46.70;48.09;-0.15;1.68
0.9900000000000007;704.5372996974053;3.109898493734992;49.08;48.44;-0.15;1.64
1.0230000000000006;697.3764204188872;2.8013143157039835;42.64;47.88;-0.11;1.61
1.0560000000000005;700.5450797806735;3.098076086059201;45.49;47.74;-0.09;1.57
1.0890000000000004;704.7591533060274;2.7568740022246314;49.28;48.10;-0.10;1.54
1.1220000000000003;701.814658483621;2.049040388895639;46.63;48.07;-0.09;1.51
1.1550000000000002;707.0216582435189;2.8588419806297947;51.32;48.63;-0.11;1.49
1.1880000000000002;701.0222730667009;3.0400598006054977;45.92;48.48;-0.09;1.46
1.221;696.5737541087099;3.102711719416798;41.92;47.86;-0.05;1.44
1.254;707.2921175443606;2.9011731796879467;51.56;48.43;-0.07;1.42
1.287;704.1423153030797;2.530195331816304;48.73;48.61;-0.07;1.40
1.3199999999999998;701.3583079114821;3.1918799691418123;46.22;48.48;-0.06;1.39
1.3529999999999998;698.5764478257412;2.524725462715763;43.72;48.07;-0.03;1.37
1.3859999999999997;697.8140871915361;2.5548033252631868;43.03;47.61;-0.01;1.36
1.4189999999999996;701.6350454800569;2.6876754687217903;46.47;47.56;0.00;1.34
1.4519999999999995;706.5561115578831;2.9129958708228214;50.90;48.01;-0.02;1.33
